№;ID;СТАТУС;СЧЁТ-ФАКТУРА;ТИП ЭСФ;ДОГОВОР;ПРОДАВЕЦ (ИНН ИЛИ ПИНФЛ);ПРОДАВЕЦ (НАИМЕНОВАНИЕ);ПРОДАВЕЦ (КОД ФИЛИАЛА);ПРОДАВЕЦ (НАЗВАНИЕ ФИЛИАЛА);ПОКУПАТЕЛЬ (ИНН ИЛИ ПИНФЛ);ПОКУПАТЕЛЬ (НАИМЕНОВАНИЕ);ПОКУПАТЕЛЬ (КОД ФИЛИАЛА);ПОКУПАТЕЛЬ (НАЗВАНИЕ ФИЛИАЛА);СУММА К ОПЛАТЕ;ПРИМЕЧАНИЕ
1;644ff35d22356aa419af8b5e;Ожидает подписи партнёра;557 от 01.05.2023;Standart;26 от 04.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;306830023;"""TAKA YUMMY"" MCHJ";;;238749,85;
2;644ff287f812711071cb9f1f;Ожидает подписи партнёра;556 от 01.05.2023;Standart;18 от 10.01.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;201597059;"""DARYA VA NUR"" MCHJ";;;128499,49;
3;644ff21d7e72dd76267aabb0;Ожидает подписи партнёра;554 от 01.05.2023;Standart;5 от 02.01.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;307077531;"""ASIA STAR PLAZA"" MCHJ";;;646999,65;
4;644ff0d7430109d14dc1e27b;Ожидает подписи партнёра;553 от 01.05.2023;Standart;30 от 03.04.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;307066711;"ООО ""GADRUT""";;;610499,71;
5;644ff01e22356aa419af8a4a;Ожидает подписи партнёра;546 от 01.05.2023;Standart;4 от 02.01.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;307669539;MCHJ MILAN HOTEL;;;170499,93;
6;644fef82430109d14dc1e1fa;Ожидает подписи партнёра;555 от 01.05.2023;Standart;7 от 02.01.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;308740577;BOSPHORUS FOOD MCHJ;;;1190999,83;
7;644fee14f812711071cb9da3;Ожидает подписи партнёра;553 от 01.05.2023;Standart;20 от 24.01.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;303860804;TEPPANYAKI TASHKENT MCHJ;;;137599,97;
8;644fed4dfb418d66ba55e245;Ожидает подписи партнёра;552 от 30.04.2023;Standart;18 от 10.01.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;201597059;"""DARYA VA NUR"" MCHJ";;;126999,61;
9;644fed16430109d14dc1e129;Ожидает подписи партнёра;550 от 30.04.2023;Standart;26 от 04.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;306830023;"""TAKA YUMMY"" MCHJ";;;111199,90;
10;644fecb17e72dd76267aa9b5;Ожидает подписи партнёра;549 от 30.04.2023;Standart;7 от 02.01.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;308740577;BOSPHORUS FOOD MCHJ;;;1026799,87;
11;644fec1cf812711071cb9cf9;Ожидает подписи партнёра;548 от 30.04.2023;Standart;20 от 24.01.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;303860804;TEPPANYAKI TASHKENT MCHJ;;;216149,94;
12;644feb7722356aa419af88e1;Ожидает подписи партнёра;547 от 30.04.2023;Standart;30 от 03.04.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;307066711;"ООО ""GADRUT""";;;427999,83;
13;644feb43f812711071cb9cb4;Ожидает подписи партнёра;546 от 29.04.2023;Standart;18 от 10.01.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;201597059;"""DARYA VA NUR"" MCHJ";;;107249,76;
14;644feaea2d6186c2eed4e874;Ожидает подписи партнёра;545 от 29.04.2023;Standart;26 от 04.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;306830023;"""TAKA YUMMY"" MCHJ";;;206999,88;
15;644fea7422356aa419af888c;Ожидает подписи партнёра;544 от 29.04.2023;Standart;30 от 03.04.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;307066711;"ООО ""GADRUT""";;;861499,66;
16;644fe9ff2d6186c2eed4e837;Ожидает подписи партнёра;543 от 29.04.2023;Standart;4 от 02.01.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;307669539;MCHJ MILAN HOTEL;;;108499,94;
17;644fe983f812711071cb9c41;Ожидает подписи партнёра;542 от 29.04.2023;Standart;7 от 02.01.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;308740577;BOSPHORUS FOOD MCHJ;;;1162999,87;
18;644f9f8df812711071cb56b3;Ожидает подписи партнёра;541 от 01.05.2023;Standart;13 от 02.01.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;302248979;"""POYTAXT QURILISH VA XIZMAT"" MCHJ";;;852999,73;
19;644bea10cb4971c0eab6231e;Подтверждён;535 от 28.04.2023;Standart;32 от 03.04.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;310153191;"""HOTELS LEVEL"" MCHJ";;;159499,90;
20;644be73fcb4971c0eab62258;Подтверждён;531 от 27.04.2023;Standart;20 от 24.01.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;303860804;TEPPANYAKI TASHKENT MCHJ;;;181799,92;
21;644be9f8861f8b10707ec308;Подтверждён;536 от 28.04.2023;Standart;30 от 03.04.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;307066711;"ООО ""GADRUT""";;;782999,67;
22;644bebdc310709d6abd43e83;Подтверждён;539 от 28.04.2023;Standart;5 от 02.01.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;307077531;"""ASIA STAR PLAZA"" MCHJ";;;850249,48;
23;644bbe32732149bc51d34e2d;Подтверждён;540 от 28.04.2023;Standart;13 от 02.01.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;302248979;"""POYTAXT QURILISH VA XIZMAT"" MCHJ";;;1343999,53;
24;644a7dd6b67093f0714a1efe;Подтверждён;530 от 27.04.2023;Standart;13 от 02.01.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;302248979;"""POYTAXT QURILISH VA XIZMAT"" MCHJ";;;745999,86;
25;644beadb732149bc51d369fb;Ожидает подписи партнёра;538 от 28.04.2023;Standart;18 от 10.01.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;201597059;"""DARYA VA NUR"" MCHJ";;;171999,75;
26;644bea8805494fbefb953b96;Ожидает подписи партнёра;537 от 28.04.2023;Standart;26 от 04.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;306830023;"""TAKA YUMMY"" MCHJ";;;103999,94;
27;644be8f9cd6888ad22341d5a;Отменено;535 от 27.04.2023;Standart;32 от 03.04.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;310153191;"""HOTELS LEVEL"" MCHJ";;;159499,90;
28;644be9cfcd6888ad22341d94;Отменено;536 от 27.04.2023;Standart;30 от 03.04.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;307066711;"ООО ""GADRUT""";;;782999,67;
29;644be85acb4971c0eab622ab;Ожидает подписи партнёра;534 от 27.04.2023;Standart;18 от 10.01.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;201597059;"""DARYA VA NUR"" MCHJ";;;140399,32;
30;644be7bb310709d6abd43d3f;Ожидает подписи партнёра;533 от 27.04.2023;Standart;26 от 04.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;306830023;"""TAKA YUMMY"" MCHJ";;;63599,98;
31;644be6d105494fbefb953a68;Ожидает подписи партнёра;530 от 27.04.2023;Standart;4 от 02.01.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;307669539;MCHJ MILAN HOTEL;;;316999,87;
32;6448f06674385d1e64f1837e;Подтверждён;527 от 26.04.2023;Standart;7 от 02.01.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;308740577;BOSPHORUS FOOD MCHJ;;;867999,87;
33;6448f1d218185f890a5e0c0d;Подтверждён;529 от 26.04.2023;Standart;18 от 10.01.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;201597059;"""DARYA VA NUR"" MCHJ";;;90999,81;
34;6448ecece92b296292059b4a;Подтверждён;523 от 25.04.2023;Standart;18 от 10.01.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;201597059;"""DARYA VA NUR"" MCHJ";;;109999,80;
35;6448ec5fe92b296292059a8b;Подтверждён;522 от 25.04.2023;Standart;5 от 02.01.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;307077531;"""ASIA STAR PLAZA"" MCHJ";;;542599,79;
36;6448eeb3e92b296292059dc9;Подтверждён;526 от 26.04.2023;Standart;13 от 02.01.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;302248979;"""POYTAXT QURILISH VA XIZMAT"" MCHJ";;;934999,69;
37;6448f261092362184f13dc64;Подтверждён;530 от 26.04.2023;Standart;26 от 04.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;306830023;"""TAKA YUMMY"" MCHJ";;;209299,90;
38;6448ee39a223d5a8147dc410;Подтверждён;524 от 25.04.2023;Standart;26 от 04.02.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;306830023;"""TAKA YUMMY"" MCHJ";;;109499,95;
39;6448f18b18185f890a5e0ba7;Подтверждён;528 от 26.04.2023;Standart;30 от 03.04.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;307066711;"ООО ""GADRUT""";;;549899,87;
40;6448a333092362184f137f45;Подтверждён;521 от 25.04.2023;Standart;30 от 03.04.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;307066711;"ООО ""GADRUT""";;;439299,90;
41;6448f14d092362184f13dab8;Подтверждён;527 от 26.04.2023;Standart;20 от 24.01.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;303860804;TEPPANYAKI TASHKENT MCHJ;;;192199,98;
42;6448a26c18185f890a5dabe2;Подтверждён;520 от 25.04.2023;Standart;7 от 02.01.2023;305932213;"""NODIR TIMUR SHOX"" MCHJ";;;308740577;BOSPHORUS FOOD MCHJ;;;531499,92;
